authors,title,System,year,publisher,type,abstract
"M Jahnke, M Gullström, J Larsson…",Population genetic structure and connectivity of the seagrass Thalassia hemprichii in the Western Indian Ocean is influenced by predominant ocean currents,Marine,2019,Wiley Online Library,NA,"This study is the first large‐scale genetic population study of a widespread climax species of seagrass, Thalassia hemprichii, in the Western Indian Ocean (WIO). The aim was to …"
"RJ Wilson, SF Sailley, ZL Jacobs, J Kamau…",Large projected reductions in marine fish biomass for Kenya and Tanzania in the absence of climate mitigation,Marine,2021,Elsevier,HTML,"Climate change is projected to cause significant reductions in global fisheries catch during the 21st Century. Yet, little is understood of climate change impacts on tropical fisheries …"
MO Silas,Review of the Tanzanian prawn Fishery,Marine,2011,bora.uib.no,NA,A review of the prawn fishery of Tanzania from its development in early 1980's to closure in 2008 has been performed based on three major data sets; industrial prawn and fish catch …
"AP Shoko, EE Ulotu, SD Shayo, MO Silas, S Chimatiro…",A VALUE CHAIN ANALYSIS OF AQUACULTURE INDUSTRY IN TANZANIA,,NA,NA,CITATION,NA
"A Bundy, R Chuenpagdee, JL Boldt…",Strong fisheries management and governance positively impact ecosystem status,,2017,Wiley Online Library,NA,"Fisheries have had major negative impacts on marine ecosystems, and effective fisheries management and governance are needed to achieve sustainable fisheries, biodiversity …"
"F Uiblein, TA HoAng, U AlAmA, R CAUsse…","A new species and new records of goatfishes of the genus Parupeneus (Mullidae) from the Indian Ocean, with updated occurrence information for P. jansenii in …",Marine,2018,researchgate.net,PDF,"Goatfishes of the genus Parupeneus (Mullidae), from several areas and countries of the Indo-West Pacific, were studied, focusing on species characterized by a symmetrically rounded …"
"I Diallo, C Fox, EA Fulton, A Gazihan, A Jarre, D Jouffre…",The final published version is available direct from the publisher website at,,2016,pureadmin.uhi.ac.uk,PDF,"Fisheries have had major negative impacts on marine ecosystems, and effective fisheries management and governance are needed to achieve sustainable fisheries, biodiversity …"
PP Matiku,"Ecological and genetic variability of the tigertooth croaker fish, otolithesruber (schneider, 1801) along the marine coastal waters of Tanzania",Marine,2015,University of Dar es Salaam,CITATION,NA
"MH Davis, M Vincx, K Hostens, K Van Ginderdeuren",The feeding ecology of four semi-pelagic fish species in the North Sea: a case of Belgian water,Marine,2012,core.ac.uk,NA,On a global scale there is an evolution taking place from marine systems dominated by demersal fish species (and fisheries) towards systems with more (semi-) pelagic fish. Unlike …
"AS Mbonde, L Sitoki…","Phytoplankton composition and microcystin concentrations in open and closed bays of Lake Victoria, Tanzania",Freshwater,2015,read.dukeupress.edu,NA,This study was carried out in order to investigate the spatial variation of algal toxin (microcystin) concentrations along the shoreline of Lake Victoria. A total of 16 nearshore …
"BS Lowe, SK Jacobson, H Anold, AS Mbonde…",The neglected role of religion in fisheries management,,2019,Wiley Online Library,NA,"Religion and spirituality have long played important roles in fishery systems around the world, and yet are often neglected in modern fisheries management and research. We …"
"BS Lowe, SK Jacobson, H Anold, AS Mbonde…","Adapting to change in inland fisheries: analysis from Lake Tanganyika, East Africa",Freshwater,2019,Springer,NA,Fisheries around the world are declining due to growing anthropogenic pressures including climate change and overexploitation. Understanding how small-scale fishers respond to this …
"AS Mbonde, SM Limbu, AP Shoko…",Phytoplankton and food selectivity in Nile tilapia reared in earthen ponds under monoculture and polyculture with African Sharptooth catfish,Freshwater,2017,researchgate.net,PDF,"Phytoplankton availability is one of the most important biotic factors affecting the successful culture of Nile tilapia (Oreochromis niloticus, Linnaeus) in semi-intensive ponds. The present …"
"AS Mbonde, L Sitoki","Phytoplankton composition and microcystin concentrations in open and closed bays of Lake Victoria, Tanzania.(2015).",Freshwater,NA,NA,NA,This study was carried out in order to investigate the spatial variation of algal toxin (microcystin) concentrations along the shoreline of Lake Victoria. A total of 16 nearshore …
"RA Smiley, MM McGlue, KM Yeager…","Preliminary Nearshore Sedimentation Rate Analysis of the Tuungane Project Northern Mahale Conservation Area, Lake Tanganyika (Tanzania)",Freshwater,2017,ui.adsabs.harvard.edu,NA,"The combined effects of climate change, overfishing, and sediment pollution are altering Lake Tanganyika's littoral fisheries in profoundly negative ways. One method for conserving …"
AS Mbonde,"Concentrations of cyanobacteria and microcystins in the near shore waters of Lake Victoria, Tanzania",Freshwater,2010,na,CITATION,NA
"M Said, M Kochzius",MOLECULAR SYSTEMATIC OF GROUPERS (SERRANIDAE) IN THE INDO-WEST PACIFIC,Marine,2011,vliz.be,NA,"Groupers are bottom-associated fishes found in the tropical and subtropical waters of all oceans. Most species occur on coral reefs, but some live in estuaries or on rocky reefs. They …"
"FL Mhagama, MS Topak",The Relationship Between Initial Public Offering and Firm Performance: A Research on Borsa Istanbul (BIST),,2019,dergipark.org.tr,NA,The aim of this study is to examine the relationship between initial public offering (IPO) and firm performances of the firms operating in Turkey. The data set involves 38 firms that …
F Mhagama,Ġlk Halka Arzın ġirketlerin Finansal Performansı Üzerine Etkisi,,2014,NA,CITATION,NA
"HA Mhitu, YD Mgaya, MAK Ngoile","Growth and reproduction of the big fin squid, Sepioteuthis lessoniana, in the coastal waters of Zanzibar",Marine,2001,researchgate.net,PDF,"Aspects of growth and reproduction of the bigfin reef squid Sepioteuthis lessoniana (Lesson, 1830) in the coastal waters of Zanzibar were investigated with a view to obtaining basic …"
"JA Mwambungu, A Chande, HA Mhitu",Benthic Macro-invertebrates of the Tanzania side of Lake Victoria and their role in Fish Production,Freshwater,2010,repository.eac.int,NA,"Studies on the taxonomic diversity, abundance and distribution of macro-invertebrates and their role in fish production were carried out on sediments of Southeastern Lake Victoria in …"
HA Mhitu,"The reproductive biology of the squid, sepioteuthis lessoniana (lesson, 1830) in the coastal waters of Zanzibar.",Marine,1997,University of Dar es Salaam,CITATION,NA
"…, SP Mwaiko, AI Chande, GU Mwamsojo, HA Mhitu",Crustacean resource assessment in Rufiji and by-catch studies of prawn trawlers,Marine,1993,NA,CITATION,NA
"…, FAS Sobo, S Kimaro, R Maly, M Mwanuo, HA Mhitu…",Tanzania Mariculture Guidelines Source Book.,Cross,NA,NA,CITATION,Tanzania Mariculture Guidelines Source Book. COSTECH Integrated Repository Tanzania Mariculture Guidelines Source Book. Login COSTECH Repository Home → University of …
"Z Lugazo, B Kalangahe, HA Mhitu, S Kimaro…",Tanzania Mariculture Guidelines Source Book.,Cross,2001,196.44.162.10,CITATION,Tanzania Mariculture Guidelines Source Book. University of Dar es Salaam Research Repository Tanzania Mariculture Guidelines Source Book. Login Home → College of …
"R Kayanda, AM Taabu, R Tumwebaze…",Status of the major commercial fish stocks and proposed species-specific management plans for Lake Victoria,Freshwater,2009,researchgate.net,PDF,"Abstract The fishery of Lake Victoria is dominated by four species, the introduced Nile perch (Lates niloticus) and Nile tilapia,(Oreochromis niloticus), the native dagaa,(Rastrineobola …"
E Mlaponi,The role of research and development in agriculture and its dependent concepts in agriculture,Freshwater,2015,academia.edu,PDF,Increasing of agriculture products is of importance so that research and development in this branch considers as one of the most important infrastructure which develops production …
"OC Mkumbo, E Mlaponi",Impact of the baited hook fishery on the recovering endemic fish species in Lake Victoria,Freshwater,2007,read.dukeupress.edu,NA,"As gillnet yields of Nile perch stagnated in the middle of the 1990s, the hook and line fishery intensified in Lake Victoria. Frame surveys show that the number of hooks used in this …"
"M Salehe, E Mlaponi, PO Onyango, HDJ Mrosso",Contribution of Lake Victoria dagaa fishery in east and central African fish trade,Freshwater,2012,ir.library.oregonstate.edu,NA,While the focus of Lake Victoria Nile-perch fishery is to serve the global market and tilapia is mainly for domestic market in Tanzania; Dagaa has a great potential for small scale trade in …
"M Njiru, A Getabu, AM Taabu, E Mlaponi, L Muhoozi…",Managing Nile Perch using slot size: is it possible?,Freshwater,2009,NA,CITATION,NA
"EM ImaniKapinga, N Kasozi",Effect of stocking density on the growth performance of sex reversed male Nile tilapia (Oreochromis niloticus) under pond conditions in Tanzania,Freshwater,2014,researchgate.net,PDF,A study was conducted to compare the growth potential of monosex Nile tilapia at two different stocking densities. Fish of 2.6±0.1 g average weight were stocked in ponds at the …
"DP Mulokozi, FP Mmanda, P Onyango…","Rural aquaculture: Assessment of its contribution to household income and farmers' perception in selected districts, Tanzania",Freshwater,2020,Taylor & Francis,NA,"Rural fish farming is being promoted as a good source of protein and income diversification to fight poverty and inequality. However, its actual contribution to these rural households and …"
"FP Mmanda, DP Mulokozi, JE Lindberg…",Fish farming in Tanzania: The availability and nutritive value of local feed ingredients,Freshwater,2020,Taylor & Francis,NA,An investigative field survey was performed to gather baseline data on locally available feed ingredients and fish farming practices in different regions of Tanzania. More than 80% of …
"DP Mulokozi, H Berg, T Lundh",An Ecological and Economical Assessment of Integrated Amaranth (Amaranthus hybridus) and Nile Tilapia (Oreochromis niloticus) Farming in Dar es Salaam …,Marine,2020,mdpi.com,NA,Organic wastes can be recycled in an ecologically sound way in fishponds by applying integrated agriculture and aquaculture systems (IAA). This kind of waste recycling can help …
"F Pius Mmanda, JE Lindberg, A Norman Haldén…",Fish farming in Tanzania: the availability and nutritive value of local feed ingredients,Marine,2020,pub.epsilon.slu.se,NA,An investigative field survey was performed to gather baseline data on locally available feed ingredients and fish farming practices in different regions of Tanzania. More than 80% of …
"DP Mulokozi, H Berg, R Tamatamah, T Lundh…",Assessment of pond and integrated aquaculture (IAA) systems in six districts of Tanzania,Marine,2021,kobra.uni-kassel.de,NA,Integrated agriculture and aquaculture systems (IAA) are well known for their ability to improve the overall farm productivity and profitability. This is through recycling of on-farm …
